"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Switzerland","Aroleit Trail","ZMUTT8","Blatten","Zen Steckenstrasse","2024","Public",NA,"ZMUTT7, ZMUTT9",2024-11-07 08:28:19.170372,2024-11-07 08:57:51.660368,"EXISTING"
"Switzerland","Zen Steckenstrasse","ZMUTT9","Aroleit Trail","Zmuttweg","2024","Public",NA,"ZMUTT8, ZMUTT1",2024-11-07 08:28:23.621717,2024-11-07 08:57:51.708342,"EXISTING"
"Switzerland","Zmutt spur","ZMUTTA","Zmuttweg","Zmutt museum","2024","Public",NA,"ZMUTT3, ZMUTT4, NA",2024-11-07 08:28:28.134222,2024-11-07 08:57:51.739321,"EXISTING"
"Switzerland","Zmutt See spur","ZMUTTB","Aroleit Trail","Zmutt See restaurant","2024","Public",NA,"ZMUTT5, ZMUTT6, NA",2024-11-07 08:28:32.582001,2024-11-07 08:57:51.771334,"EXISTING"
"Switzerland","Zen Steckenstrasse","GORGE1","Zen Steckenstrasse bridge","Unnamed trail","2024","Public",NA,"NA, GORGE2",2024-11-07 14:21:57.314886,2024-11-07 14:22:24.773584,"EXISTING"
"Switzerland","Unnamed trail","GORGE2","Zen Steckenstrasse","Gorner Gorge Trail [Entrance]","2024","Public",NA,"GORGE1, GORGE3",2024-11-07 14:22:01.929852,2024-11-07 14:22:24.805552,"EXISTING"
"Switzerland","Gorner Gorge Trail","GORGE3","Unnamed trail","Unnamed trail","2024","Public",NA,"GORGE2, GORGE4",2024-11-07 14:22:06.13076,2024-11-07 14:22:24.84053,"EXISTING"
"Switzerland","Unnamed trail","GORGE4","Gorner Gorge Trail [Exit]","Staldenstrasse","2024","Public",NA,"GORGE3, GORGE5",2024-11-07 14:22:11.139671,2024-11-07 14:22:24.890503,"EXISTING"
"Switzerland","Staldenstrasse","GORGE5","Unnamed trail","Winketmattenweg","2024","Public",NA,"GORGE4, GORGE6",2024-11-07 14:22:15.471169,2024-11-07 14:22:24.921497,"EXISTING"
"Switzerland","Winketmattenweg","GORGE6","Staldenstrasse","Schluhmattstrasse","2024","Public",NA,"GORGE5, NA",2024-11-07 14:22:19.969358,2024-11-07 14:22:24.956465,"EXISTING"
"Switzerland","Haldenweg","STLU01","Steinbruchstrasse","Alter Mittenbergweg","2024","Public",NA,"NA, STLU02, STLU15",2024-11-10 14:22:29.2582,2024-11-10 17:12:07.181379,"EXISTING"
"Switzerland","Haldenweg","STLU02","Alter Mittenbergweg","Lurlibadweg","2024","Public",NA,"STLU01, STLU15, STLU03",2024-11-10 14:22:34.710453,2024-11-10 17:12:07.215569,"EXISTING"
"Switzerland","Lurlibadweg","STLU03","Haldenweg","Unnamed Trail","2024","Public",NA,"STLU02, STLU04",2024-11-10 14:22:41.045723,2024-11-10 17:12:07.250759,"EXISTING"
"Switzerland","Unnamed Trail","STLU04","Lurlibadweg","St. Luziweg","2024","Public",NA,"STLU03, STLU05",2024-11-10 14:22:46.377159,2024-11-10 17:12:07.295052,"EXISTING"
"Switzerland","St. Luziweg","STLU05","St. Luziweg","St. Luzikapelle spur","2024","Public",NA,"STLU04, STLU06",2024-11-10 14:22:52.012993,2024-11-10 17:12:07.350033,"EXISTING"
"Switzerland","St. Luziweg","STLU06","St, Luzikapelle spur","Rotackerweg","2024","Public",NA,"STLU05, STLU07",2024-11-10 14:22:57.310308,2024-11-10 17:12:07.40613,"EXISTING"
"Switzerland","Rotackerweg","STLU07","St. Luziweg","Unnamed Trail","2024","Public",NA,"STLU06, STLU08",2024-11-10 14:23:02.250835,2024-11-10 17:12:07.448198,"EXISTING"
"Switzerland","Unnamed Trail","STLU08","Rotackerweg","Kopfweg","2024","Public",NA,"STLU07, STLU09",2024-11-10 14:23:07.959415,2024-11-10 17:12:07.492599,"EXISTING"
"Switzerland","Kopfweg","STLU09","Unnamed Trail","Mittenbergweg","2024","Public",NA,"STLU08, STLU10",2024-11-10 14:23:13.657206,2024-11-10 17:12:07.531839,"EXISTING"
"Switzerland","Mittenbergweg","STLU10","Kopfweg","Mittenbergweg Overlook Trail","2024","Public",NA,"STLU09, STLU11",2024-11-10 14:23:20.354553,2024-11-10 17:12:07.574432,"EXISTING"
"Switzerland","Mittenbergweg Overlook Trail","STLU11","Mittenbergweg","Mittenbergweg Overllook","2024","Public",NA,"STLU10, STLU12",2024-11-10 14:23:25.788067,2024-11-10 17:12:07.607916,"EXISTING"
"Switzerland","Mittenbergweg Overlook Trail","STLU12","Mittenbergweg Overllook","Kopfweg","2024","Public",NA,"STLU11, STLU13",2024-11-10 14:23:30.789688,2024-11-10 17:12:07.654593,"EXISTING"
"Switzerland","Kopfweg","STLU13","Mittenbergweg Overlook Trail","Unnamed Trail","2024","Public",NA,"STLU12, STLU14",2024-11-10 14:23:36.815992,2024-11-10 17:12:07.716986,"EXISTING"
"Switzerland","Unnamed Trail","STLU14","Kopfweg","Alter Mittenbergweg","2024","Public",NA,"STLU13, STLU15",2024-11-10 14:23:42.665586,2024-11-10 17:12:07.774233,"EXISTING"
"Switzerland","Alter Mittenbergweg","STLU15","Unnamed Trail","Haldenweg","2024","Public",NA,"STLU14, STLU01, STLU02",2024-11-10 14:23:47.841938,2024-11-10 17:12:07.840906,"EXISTING"
"Switzerland","St. Luzikapelle spur","STLUA","St. Luziweg","St, Luzikapelle","2024","Public",NA,"STLU06, STLU07, NA",2024-11-10 14:23:53.47632,2024-11-10 17:12:07.885286,"EXISTING"
"Switzerland","Chur City Walk I","CHCW101","Hotel Freieck","Stadtgarden","2024","Public",NA,"CHCW103, CHCW102",2024-12-04 08:56:37.865175,2024-12-04 10:13:33.505663,"EXISTING"
"Switzerland","Chur City Walk I","CHCW102","Stadtgarden","Train Station","2024","Public",NA,"CHCW101, CHCW103",2024-12-04 08:56:45.450586,2024-12-04 10:13:33.570612,"EXISTING"
"Switzerland","Chur City Walk I","CHCW103","Train Station","Hotel Freieck","2024","Public",NA,"CHCW102, CHCW101",2024-12-04 08:56:51.216133,2024-12-04 10:13:33.629572,"EXISTING"
"Switzerland","Chur City Walk II","CHCW201","Hotel Freieck","Trail Closed","2024","Public",NA,"CHCW203, CHCW202",2024-12-04 08:56:56.542168,2024-12-04 10:13:33.70553,"EXISTING"
"Switzerland","Chur City Walk II","CHCW202","Trail Closed","Train Track Overpass","2024","Public",NA,"CHCW201, CHCW203",2024-12-04 08:57:02.22871,2024-12-04 10:13:33.809488,"EXISTING"
"Switzerland","Chur City Walk II","CHCW203","Train Track Overpass","Hotel Freieck","2024","Public",NA,"CHCW202, CHCW201",2024-12-04 08:57:07.484257,2024-12-04 10:13:33.866455,"EXISTING"
"Switzerland","Trummelbach Falls","TRMBF01","Hotel Silberhorn","Lower Trail","2024","Public",NA,"NA, TRMBF02, TRMBF07",2024-12-05 09:48:58.919786,2024-12-05 10:05:12.016706,"EXISTING"
"Switzerland","Trummelbach Falls","TRMBF02","Lower Trail","Trail to Staubbachfall","2024","Public",NA,"TRMBF01, TRMBF07, TRMBF03, TRMBF04",2024-12-05 09:49:03.526615,2024-12-05 10:05:12.058697,"EXISTING"
"Switzerland","Trummelbach Falls","TRMBF03","Alte Stechelbergstrasse","Staubbachfall","2024","Public",NA,"TRMBF02, TRMBF03, NA",2024-12-05 09:49:09.445127,2024-12-05 10:05:12.099646,"EXISTING"
"Switzerland","Trummelbach Falls","TRMBF04","Trail to Staubbachfall","Lower Trail","2024","Public",NA,"TRMBF02, TRMBF03, TRMBF05, TRMBF07",2024-12-05 09:49:14.684031,2024-12-05 10:05:12.160629,"EXISTING"
"Switzerland","Trummelbach Falls","TRMBF05","Lower Trail","Trail to Trummelbachfalle","2024","Public",NA,"TRMBF04, TRMBF07, TRMBF06",2024-12-05 09:49:19.635073,2024-12-05 10:05:12.210581,"EXISTING"
"Switzerland","Trummelbach Falls","TRMBF06","Trail to Trummelbachfall","Trummelbachfalle","2024","Public",NA,"TRMBF05, NA",2024-12-05 09:49:25.023855,2024-12-05 10:05:12.27313,"EXISTING"
"Switzerland","Trummelbach Falls","TRMBF07","Auf der Furhren","Alte Stechelbergstrasse","2024","Public",NA,"TRMBF01, TRMBF02, TRMBF04, TRMBF05",2024-12-05 09:49:30.228025,2024-12-05 10:05:12.352087,"EXISTING"
"Switzerland","Wengen to Lauterbrunnen","WNGN01","Wengen train station","Trail to Innerwengen","2024","Public",NA,"NA, WNGN02, WNGN03",2024-12-05 20:32:06.530174,2024-12-05 20:52:22.079422,"EXISTING"
"Switzerland","Wengen to Lauterbrunnen","WNGN02","Trail to Lauterbrunnen","Innerwengen","2024","Public",NA,"WNGN01, WNGN03, NA",2024-12-05 20:32:12.475735,2024-12-05 20:52:22.146376,"EXISTING"
"Switzerland","Wengen to Lauterbrunnen","WNGN03","Trail to Innerwengen","Train crossing","2024","Public",NA,"WNGN01, WNGN02, WNGN04",2024-12-05 20:32:19.301058,2024-12-05 20:52:22.246305,"EXISTING"
"Switzerland","Wengen to Lauterbrunnen","WNGN04","Train crossing","Lauterbrunnen outskirts","2024","Public",NA,"WNGN03, WNGN05",2024-12-05 20:32:25.445139,2024-12-05 20:52:22.300276,"EXISTING"
"Switzerland","Wengen to Lauterbrunnen","WNGN05","Lauterbrunnen outskirts","Lauterbrunnen train station","2024","Public",NA,"WNGN04, NA",2024-12-05 20:32:32.313431,2024-12-05 20:52:22.351244,"EXISTING"
"Switzerland","Panaramoweg Kleine-Scheidegg","PANKS01","Kleine-Scheidegg train station","Rotsoecki","2024","Public",NA,"NA, PANKS02",2024-12-06 09:35:07.388412,2024-12-06 10:02:48.203617,"EXISTING"
"Switzerland","Panaramoweg Kleine-Scheidegg","PANKS02","Rotsoecki","restroom","2024","Public",NA,"PANKS01, PANKS03",2024-12-06 09:35:14.521183,2024-12-06 10:02:48.28657,"EXISTING"
"Switzerland","Panaramoweg Kleine-Scheidegg","PANKS03","restroom","Mannlichen gondola station","2024","Public",NA,"PANKS02, PANKS04",2024-12-06 09:35:19.937067,2024-12-06 10:02:48.385532,"EXISTING"
"Switzerland","Panaramoweg Kleine-Scheidegg","PANKS04","Mannlichen gondola station","Royal Walk crown","2024","Public",NA,"PANKS03, NA",2024-12-06 09:35:25.812281,2024-12-06 10:02:48.447479,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW01","Seebrucke Bridge",NA,"2024","Public",NA,"NA, LCLW02, LCLW03",2024-12-13 14:50:38.864111,2024-12-13 15:07:21.24873,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW02",NA,NA,"2024","Public",NA,"LCLW01, LCLW03, LCLW07, LCLW08",2024-12-13 14:50:44.979059,2024-12-13 15:07:21.300703,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW03",NA,"Hofstrasse-Lowenstrasse intersection","2024","Public",NA,"LCLW01, LCLW02, LCLW04, LCLW05. LCLW06",2024-12-13 14:49:54.69809,2024-12-13 15:07:21.358665,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW04","Hofstrasse-Lowenstrasse intersection","Lion of Lucerne","2024","Public",NA,"LCLW03, LCLW05. LCLW06, LCLW05",2024-12-13 14:50:01.871855,2024-12-13 15:07:21.398647,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW05","Lion of Lucerne","Hofstrasse-Lowenstrasse intersection","2024","Public",NA,"LCLW04, LCLW03, LCLW04. LCLW06",2024-12-13 14:50:06.70475,2024-12-13 15:07:21.440624,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW06","Hofstrasse-Lowenstrasse intersection","St. Leodegar im Hof","2024","Public",NA,"LCLW03, LCLW04. LCLW05, LCLW07",2024-12-13 14:50:11.766798,2024-12-13 15:07:21.482599,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW07","St. Leodegar im Hof","Nationalquai","2024","Public",NA,"LCLW06, LCLW03, LCLW08",2024-12-13 14:50:16.876324,2024-12-13 15:07:21.530552,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW08",NA,"trail to dock","2024","Public",NA,"LCLW03, LCLW07, LCLW09, LCLW10",2024-12-13 14:50:22.198736,2024-12-13 15:07:21.604528,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW09","trail to dock","restroom!","2024","Public",NA,"LCLW08, LCLW10, NA",2024-12-13 14:50:27.085535,2024-12-13 15:07:21.658493,"EXISTING"
"Switzerland","Lucerne City-Lake Walk","LCLW10","General-Guisan-Qai","Verhehrshaus-Lido","2024","Public",NA,"LCLW08, LCLW09, NA",2024-12-13 14:50:32.26755,2024-12-13 15:07:21.691479,"EXISTING"
"Switzerland","Lucerne City-Musegg Wall Walk","LCMW01","Hotel Mr. Pickwick","Zytturm","2024","Public",NA,"LCMW06, LCMW02",2024-12-17 10:54:19.584476,NA,"NEW"
"Switzerland","Lucerne City-Musegg Wall Walk","LCMW02","Zytturm","Wachturm","2024","Public",NA,"LCMW01, LCMW03",2024-12-17 10:54:25.204302,NA,"NEW"
"Switzerland","Lucerne City-Musegg Wall Walk","LCMW03","Wachturm","Mannliturm","2024","Public",NA,"LCMW02, LCMW04",2024-12-17 10:54:30.719551,NA,"NEW"
"Switzerland","Lucerne City-Musegg Wall Walk","LCMW04","Mannliturm","Geissmattbrucke","2024","Public",NA,"LCMW03, LCMW05",2024-12-17 10:54:36.179796,NA,"NEW"
"Switzerland","Lucerne City-Musegg Wall Walk","LCMW05","Geissmattbrucke","Reussbrucke","2024","Public",NA,"LCMW04, LCMW06",2024-12-17 10:54:42.190845,NA,"NEW"
"Switzerland","Lucerne City-Musegg Wall Walk","LCMW06","Reussbrucke","Hotel Mr. Pickwick","2024","Public",NA,"LCMW05, LCMW01",2024-12-17 10:54:48.464975,NA,"NEW"
